0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,0,0,0,0,1,0,0,9,9,1,0,1,0,1
1,0,0,0,0,0,1,0,0,9,9,1,0,1,0,1
2,0,0,0,0,0,1,1,0,9,9,1,0,1,0,1
1,0,0,0,0,0,1,0,0,9,9,1,0,1,0,1
1,0,0,0,0,0,0,1,1,9,9,0,0,1,0,1
1,0,0,0,0,0,1,0,0,9,9,1,0,1,0,1
3,0,0,0,0,0,1,2,0,9,9,0,0,1,1,1
2,0,0,0,0,0,2,0,0,16,17,0,0,1,0,1
1,0,0,0,0,0,1,0,0,16,17,0,0,1,0,1
1,0,0,0,0,0,1,0,0,16,17,0,0,1,0,1
1,0,0,0,0,0,1,0,0,16,17,0,0,1,0,1
1,0,0,0,0,0,1,0,0,16,17,0,0,1,0,1
3,0,1,2,0,0,0,3,0,16,17,0,0,1,0,1
2,1,2,0,0,0,1,1,0,16,17,1,0,1,0,1
3,1,2,0,0,0,1,2,0,16,17,0,0,1,0,1
2,1,2,0,0,0,1,1,0,16,17,1,0,1,0,1
3,1,2,0,0,0,1,2,0,16,17,0,0,1,0,1
3,0,0,0,0,0,0,3,0,16,17,0,0,1,0,1
1,0,0,0,0,0,0,1,0,16,17,0,0,1,0,1
1,0,0,0,0,0,0,1,1,16,17,0,0,1,0,1
1,0,0,0,0,0,0,1,1,16,17,0,0,1,0,1
4,0,0,1,0,0,1,3,0,16,17,0,0,1,0,1
1,0,0,0,0,0,1,0,0,16,17,0,0,1,1,1
2,0,0,0,0,0,1,1,0,16,17,0,0,1,1,1
4,0,2,2,0,0,0,4,1,9,15,0,0,8,1,1
4,0,2,2,0,0,0,4,1,9,15,0,0,8,1,1
4,0,2,2,0,0,0,4,1,9,15,0,0,8,1,1
4,0,2,2,0,0,0,4,1,9,15,0,0,8,1,1
4,0,2,2,0,0,0,4,1,9,15,0,0,8,1,1
3,0,0,1,0,0,0,3,0,9,15,0,0,8,0,1
4,0,0,1,0,0,3,1,0,9,15,0,0,8,0,1
2,0,0,0,0,0,2,0,0,9,15,1,0,8,0,1
2,0,4,0,0,0,2,0,0,9,15,1,0,8,0,1
2,0,2,0,0,0,2,0,0,9,15,1,0,8,0,1
1,0,0,0,0,0,1,0,0,9,15,0,0,8,1,1
2,0,1,0,0,0,1,1,0,9,15,0,0,8,1,1
2,0,1,0,0,0,1,1,0,9,15,0,0,8,1,1
1,0,0,0,0,0,0,1,1,9,15,0,0,8,0,1
2,0,0,0,0,0,0,2,1,9,15,0,0,8,0,1
1,0,0,1,0,0,0,1,0,4,1,0,0,0,1,1
1,0,0,0,0,0,1,0,0,9,9,0,0,1,1,1
2,0,1,0,0,0,2,0,0,9,9,1,0,1,0,1
1,0,0,0,0,0,1,0,0,9,9,1,0,1,0,1
1,0,0,0,0,0,1,0,0,9,9,1,0,1,0,1
2,0,0,0,0,0,1,1,0,9,9,1,0,1,0,1
1,0,0,0,0,0,1,0,0,9,9,1,0,1,0,1
1,0,0,0,0,0,0,1,1,9,9,0,0,1,0,1
1,0,0,0,0,0,1,0,0,9,9,1,0,1,0,1
3,0,0,0,0,0,1,2,0,9,9,0,0,1,1,1
2,0,1,0,0,0,2,0,0,5,2,1,0,0,2,0
1,0,0,0,0,0,1,0,0,3,2,0,0,1,1,0
1,0,1,2,0,0,0,1,0,1,1,0,0,0,1,1
3,0,0,0,2,0,1,2,0,8,3,0,0,1,0,1
1,0,0,0,0,0,1,0,0,8,3,0,0,1,1,1
3,0,0,0,0,0,1,2,0,8,3,0,0,1,1,1
3,0,0,0,0,0,1,2,0,10,10,0,0,4,0,1
1,0,0,0,0,0,1,0,0,10,10,0,0,4,0,1
1,0,1,2,0,0,0,1,0,10,10,0,0,4,0,1
1,0,0,0,0,0,1,0,0,10,10,0,0,4,0,1
3,0,2,0,0,0,2,1,0,10,10,1,0,4,0,1
3,0,0,0,0,0,1,2,0,10,10,0,0,4,0,1
1,0,0,0,0,0,1,0,0,10,10,0,0,4,1,1
1,0,0,0,0,0,1,0,0,10,10,0,0,4,0,1
3,0,0,0,0,0,1,2,0,10,10,0,0,4,1,1
1,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0
1,0,0,0,0,0,1,0,0,9,3,0,0,1,1,1
1,0,0,0,0,0,1,0,0,9,3,0,0,1,0,1
3,0,0,0,0,0,1,2,0,9,3,0,0,1,1,1
1,0,0,0,0,0,0,1,0,9,6,0,0,2,0,1
1,0,0,0,0,0,1,0,0,9,6,1,0,2,1,1
3,0,0,0,0,0,1,2,0,9,6,0,0,2,0,1
1,0,0,0,0,0,1,0,0,9,6,0,0,2,1,1
1,0,1,0,0,0,1,0,0,9,6,1,0,2,0,1
2,0,0,0,0,0,1,1,0,9,6,0,0,2,1,1
1,0,0,0,0,0,0,1,0,9,6,0,0,2,0,1
1,0,0,0,0,0,1,0,0,9,6,1,0,2,1,1
